t,body_x,body_region,com_direction,hip_vx,hip_x,hip_conf,lf_x,lf_vx,lf_vy,lf_pred,lf_region,lf_src,lf_reliable,rf_x,rf_vx,rf_vy,rf_pred,rf_region,rf_src,rf_reliable,knee_vx_left,knee_vx_right,fast_intent,lead_side,body_support,score_L,score_C,score_R,side_candidate,side_score,side_body_support,both_feet_region,center_return_support,center_foot_gate,confirmation_hold,suppressed,ignored_trail_side,ignored_spent_side,center_settle_blocked,prev_lane,next_lane,reason
41139.4187,0.6790,1,1,-0.0128,0.6790,1.000,0.6599,0.0003,-0.0043,0.6600,1,left_ankle,1,0.6949,-0.0033,0.0023,0.6945,1,right_ankle,1,-0.0015,-0.0001,0,,0,0.000,0.000,1.230,1,1.230,1,0,0,0,0,0,,,0,0,1,confirmed -> lane +1
41139.4511,0.6787,1,1,-0.0111,0.6787,1.000,0.6600,0.0009,0.0286,0.6601,1,left_ankle,1,0.6949,-0.0005,0.0088,0.6948,1,right_ankle,1,-0.0007,-0.0046,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
41139.4511,0.6785,1,1,-0.0124,0.6785,1.000,0.6601,0.0029,0.0858,0.6604,1,left_ankle,1,0.6947,-0.0040,0.0200,0.6943,1,right_ankle,1,-0.0024,-0.0118,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
41139.4823,0.6784,1,1,-0.0024,0.6784,1.000,0.6601,0.0007,0.0245,0.6601,1,left_ankle,1,0.6947,-0.0061,0.0151,0.6940,1,right_ankle,1,-0.0108,-0.0104,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
41139.4823,0.6783,1,1,-0.0024,0.6783,1.000,0.6600,-0.0006,0.0249,0.6599,1,left_ankle,1,0.6946,-0.0061,0.0143,0.6939,1,right_ankle,1,-0.0114,-0.0113,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
41139.5142,0.6783,1,1,-0.0012,0.6783,1.000,0.6599,-0.0078,-0.0113,0.6590,1,left_ankle,1,0.6946,-0.0025,-0.0028,0.6943,1,right_ankle,1,-0.0019,-0.0024,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
41139.5142,0.6783,1,1,-0.0013,0.6783,1.000,0.6597,-0.0085,-0.0155,0.6588,1,left_ankle,1,0.6944,-0.0039,-0.0009,0.6940,1,right_ankle,1,-0.0035,-0.0024,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
41139.5472,0.6782,1,1,-0.0002,0.6782,1.000,0.6597,-0.0029,0.0010,0.6594,1,left_ankle,1,0.6944,0.0002,0.0046,0.6945,1,right_ankle,1,-0.0015,0.0003,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
41139.5472,0.6782,1,1,-0.0004,0.6782,1.000,0.6597,-0.0027,0.0278,0.6594,1,left_ankle,1,0.6945,0.0002,0.0098,0.6945,1,right_ankle,1,-0.0014,0.0003,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
41139.5472,0.6782,1,1,-0.0002,0.6782,1.000,0.6597,-0.0025,0.0423,0.6594,1,left_ankle,1,0.6945,0.0003,0.0171,0.6945,1,right_ankle,1,-0.0025,0.0003,0,,0,0.000,0.000,1.510,1,1.510,1,0,0,0,0,0,,,0,1,1,confirmed
